dataset_id,municipio,province,zone_id,candidate_distributor,candidate_confidence,previous_review_status,exception_review_priority,production_recommendation,bulk_import_allowed,already_productive,source_name,source_url,privacy_notes,focused_notes
aragon,Ojos Negros,Teruel,municipality:teruel::ojos_negros,"e-distribución Redes Digitales, S.L.U.",regional_presence_candidate,regional_presence_confirmed_needs_boundary_review,high_boundary_review,review_boundary_and_local_exceptions_before_production,no,no,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,"No contiene identificadores de suministro, direcciones, coordenadas privadas ni inventario de infraestructura.",Buscar distribuidoras locales/municipales antes de convertir a regional_default productivo.
aragon,Fabara,Zaragoza,municipality:zaragoza::fabara,"e-distribución Redes Digitales, S.L.U.",regional_presence_candidate,regional_presence_confirmed_needs_boundary_review,high_boundary_review,review_boundary_and_local_exceptions_before_production,no,no,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,"No contiene identificadores de suministro, direcciones, coordenadas privadas ni inventario de infraestructura.",Buscar distribuidoras locales/municipales antes de convertir a regional_default productivo.
aragon,Peralta de Alcofea,Huesca,municipality:huesca::peralta_de_alcofea,"e-distribución Redes Digitales, S.L.U.",regional_presence_candidate,regional_presence_confirmed_needs_boundary_review,high_boundary_review,review_boundary_and_local_exceptions_before_production,no,no,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,"No contiene identificadores de suministro, direcciones, coordenadas privadas ni inventario de infraestructura.",Buscar distribuidoras locales/municipales antes de convertir a regional_default productivo.
aragon,Alagón,Zaragoza,municipality:zaragoza::alagon,"e-distribución Redes Digitales, S.L.U.",regional_presence_candidate,regional_presence_confirmed_needs_boundary_review,high_boundary_review,review_boundary_and_local_exceptions_before_production,no,no,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,"No contiene identificadores de suministro, direcciones, coordenadas privadas ni inventario de infraestructura.",Buscar distribuidoras locales/municipales antes de convertir a regional_default productivo.
aragon,Ejulve,Teruel,municipality:teruel::ejulve,"e-distribución Redes Digitales, S.L.U.",regional_presence_candidate,regional_presence_confirmed_needs_boundary_review,high_boundary_review,review_boundary_and_local_exceptions_before_production,no,no,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,"No contiene identificadores de suministro, direcciones, coordenadas privadas ni inventario de infraestructura.",Buscar distribuidoras locales/municipales antes de convertir a regional_default productivo.
aragon,Terrer,Zaragoza,municipality:zaragoza::terrer,"e-distribución Redes Digitales, S.L.U.",regional_presence_candidate,regional_presence_confirmed_needs_boundary_review,high_boundary_review,review_boundary_and_local_exceptions_before_production,no,no,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,"No contiene identificadores de suministro, direcciones, coordenadas privadas ni inventario de infraestructura.",Buscar distribuidoras locales/municipales antes de convertir a regional_default productivo.
aragon,Lidón,Teruel,municipality:teruel::lidon,"e-distribución Redes Digitales, S.L.U.",regional_presence_candidate,regional_presence_confirmed_needs_boundary_review,high_boundary_review,review_boundary_and_local_exceptions_before_production,no,no,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,"No contiene identificadores de suministro, direcciones, coordenadas privadas ni inventario de infraestructura.",Buscar distribuidoras locales/municipales antes de convertir a regional_default productivo.
aragon,Cañada Vellida,Teruel,municipality:teruel::canada_vellida,"e-distribución Redes Digitales, S.L.U.",regional_presence_candidate,regional_presence_confirmed_needs_boundary_review,high_boundary_review,review_boundary_and_local_exceptions_before_production,no,no,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,"No contiene identificadores de suministro, direcciones, coordenadas privadas ni inventario de infraestructura.",Buscar distribuidoras locales/municipales antes de convertir a regional_default productivo.
aragon,Berrueco,Zaragoza,municipality:zaragoza::berrueco,"e-distribución Redes Digitales, S.L.U.",regional_presence_candidate,regional_presence_confirmed_needs_boundary_review,high_boundary_review,review_boundary_and_local_exceptions_before_production,no,no,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,"No contiene identificadores de suministro, direcciones, coordenadas privadas ni inventario de infraestructura.",Buscar distribuidoras locales/municipales antes de convertir a regional_default productivo.
aragon,Santa María de Dulcis,Huesca,municipality:huesca::santa_maria_de_dulcis,"e-distribución Redes Digitales, S.L.U.",regional_presence_candidate,regional_presence_confirmed_needs_boundary_review,high_boundary_review,review_boundary_and_local_exceptions_before_production,no,no,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,"No contiene identificadores de suministro, direcciones, coordenadas privadas ni inventario de infraestructura.",Buscar distribuidoras locales/municipales antes de convertir a regional_default productivo.
aragon,Villar del Cobo,Teruel,municipality:teruel::villar_del_cobo,"e-distribución Redes Digitales, S.L.U.",regional_presence_candidate,regional_presence_confirmed_needs_boundary_review,high_boundary_review,review_boundary_and_local_exceptions_before_production,no,no,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,"No contiene identificadores de suministro, direcciones, coordenadas privadas ni inventario de infraestructura.",Buscar distribuidoras locales/municipales antes de convertir a regional_default productivo.
aragon,Jaca,Huesca,municipality:huesca::jaca,"e-distribución Redes Digitales, S.L.U.",regional_presence_candidate,regional_presence_confirmed_needs_boundary_review,high_boundary_review,review_boundary_and_local_exceptions_before_production,no,no,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,"No contiene identificadores de suministro, direcciones, coordenadas privadas ni inventario de infraestructura.",Buscar distribuidoras locales/municipales antes de convertir a regional_default productivo.
